time,1,2,3,4,5,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
41,a,c,b,d,a,0.0,27.27504166434615,0.0,22.866264709181618,0.0,4.408776955164535,0.0,4.408776955164535,22.866264709181618,4.408776955164535,22.866264709181618,0.0
40,a,c,d,b,a,0.0,25.447537497911537,0.0,20.579638238263456,0.0,4.867899259648081,0.0,4.867899259648081,20.579638238263456,4.867899259648081,20.579638238263456,0.0
39,a,c,d,b,a,0.0,27.402783748120385,0.0,23.02167441443711,0.0,4.381109333683273,0.0,4.381109333683273,23.02167441443711,4.381109333683273,23.02167441443711,0.0
38,a,c,b,d,a,0.0,29.162505373308345,0.0,25.2195069729934,0.0,3.9429984003149463,0.0,3.9429984003149463,25.2195069729934,3.9429984003149463,25.2195069729934,0.0
37,a,c,b,d,a,0.0,27.146254835977512,0.0,22.697556275694062,0.0,4.448698560283452,0.0,4.448698560283452,22.697556275694062,4.448698560283452,22.697556275694062,0.0
36,a,c,d,b,a,0.0,25.33162935237976,0.0,20.427800648124656,0.0,4.9038287042551065,0.0,4.9038287042551065,20.427800648124656,4.9038287042551065,20.427800648124656,0.0
35,a,c,b,d,a,0.0,27.298466417141785,0.0,22.88502058331219,0.0,4.413445833829596,0.0,4.413445833829596,22.88502058331219,4.413445833829596,22.88502058331219,0.0
34,a,c,d,b,a,0.0,25.46861977542761,0.0,20.596518524980972,0.0,4.8721012504466366,0.0,4.8721012504466366,20.596518524980972,4.8721012504466366,20.596518524980972,0.0
33,a,c,b,d,a,0.0,27.421757797884847,0.0,23.036866672482876,0.0,4.384891125401973,0.0,4.384891125401973,23.036866672482876,4.384891125401973,23.036866672482876,0.0
32,a,c,b,d,a,0.0,25.579582018096364,0.0,20.73318000523459,0.0,4.846402012861776,0.0,4.846402012861776,20.73318000523459,4.846402012861776,20.73318000523459,0.0
31,a,c,b,d,a,0.0,23.92162381628673,0.0,18.659862004711133,0.0,5.261761811575599,0.0,5.261761811575599,18.659862004711133,5.261761811575599,18.659862004711133,0.0
30,a,c,d,b,a,0.0,22.429461434658055,0.0,16.79387580424002,0.0,5.6355856304180385,0.0,5.6355856304180385,16.79387580424002,5.6355856304180385,16.79387580424002,0.0
29,a,c,b,d,a,0.0,24.68651529119225,0.0,19.614488223816018,0.0,5.072027067376235,0.0,5.072027067376235,19.614488223816018,5.072027067376235,19.614488223816018,0.0
28,a,c,b,d,a,0.0,23.117863762073025,0.0,17.653039401434416,0.0,5.4648243606386115,0.0,5.4648243606386115,17.653039401434416,5.4648243606386115,17.653039401434416,0.0
27,a,c,b,d,a,0.0,21.706077385865722,0.0,15.887735461290974,0.0,5.81834192457475,0.0,5.81834192457475,15.887735461290974,5.81834192457475,15.887735461290974,0.0
26,a,c,b,d,a,0.0,20.43546964727915,0.0,14.298961915161877,0.0,6.136507732117275,0.0,6.136507732117275,14.298961915161877,6.136507732117275,14.298961915161877,0.0
25,a,c,b,d,a,0.0,19.291922682551235,0.0,12.86906572364569,0.0,6.422856958905548,0.0,6.422856958905548,12.86906572364569,6.422856958905548,12.86906572364569,0.0
24,a,c,d,b,a,0.0,18.26273041429611,0.0,11.582159151281122,0.0,6.680571263014993,0.0,6.680571263014993,11.582159151281122,6.680571263014993,11.582159151281122,0.0
23,a,c,d,b,a,0.0,20.9364573728665,0.0,14.92394323615301,0.0,6.012514136713494,0.0,6.012514136713494,14.92394323615301,6.012514136713494,14.92394323615301,0.0
22,a,c,d,b,a,0.0,23.34281163557985,0.0,17.931548912537707,0.0,5.411262723042145,0.0,5.411262723042145,17.931548912537707,5.411262723042145,17.931548912537707,0.0
21,a,c,d,b,a,0.0,25.508530472021864,0.0,20.638394021283936,0.0,4.870136450737931,0.0,4.870136450737931,20.638394021283936,4.870136450737931,20.638394021283936,0.0
20,a,c,b,d,a,0.0,27.45767742481968,0.0,23.074554619155542,0.0,4.383122805664138,0.0,4.383122805664138,23.074554619155542,4.383122805664138,23.074554619155542,0.0
19,a,c,b,d,a,0.0,25.61190968233771,0.0,20.76709915723999,0.0,4.844810525097724,0.0,4.844810525097724,20.76709915723999,4.844810525097724,20.76709915723999,0.0
18,a,c,d,b,a,0.0,23.95071871410394,0.0,18.69038924151599,0.0,5.260329472587952,0.0,5.260329472587952,18.69038924151599,5.260329472587952,18.69038924151599,0.0
17,a,c,d,b,a,0.0,26.055646842693545,0.0,21.32135031736439,0.0,4.734296525329158,0.0,4.734296525329158,21.32135031736439,4.734296525329158,21.32135031736439,0.0
16,a,c,d,b,a,0.0,27.95008215842419,0.0,23.689215285627952,0.0,4.2608668727962415,0.0,4.2608668727962415,23.689215285627952,4.2608668727962415,23.689215285627952,0.0
15,a,c,d,b,a,0.0,29.655073942581776,0.0,25.82029375706516,0.0,3.8347801855166175,0.0,3.8347801855166175,25.82029375706516,3.8347801855166175,25.82029375706516,0.0
14,a,c,d,b,a,0.0,31.1895665483236,0.0,27.738264381358643,0.0,3.4513021669649557,0.0,3.4513021669649557,27.738264381358643,3.4513021669649557,27.738264381358643,0.0
13,a,c,b,d,a,0.0,32.57060989349124,0.0,29.464437943222784,0.0,3.10617195026846,0.0,3.10617195026846,29.464437943222784,3.10617195026846,29.464437943222784,0.0
12,a,c,b,d,a,0.0,30.213548904142115,0.0,26.517994148900506,0.0,3.695554755241614,0.0,3.695554755241614,26.517994148900506,3.695554755241614,26.517994148900506,0.0
11,a,c,d,b,a,0.0,28.092194013727905,0.0,23.866194734010456,0.0,4.2259992797174535,0.0,4.2259992797174535,23.866194734010456,4.2259992797174535,23.866194734010456,0.0
10,a,c,b,d,a,0.0,29.782974612355115,0.0,25.979575260609412,0.0,3.8033993517457083,0.0,3.8033993517457083,25.979575260609412,3.8033993517457083,25.979575260609412,0.0
9,a,c,d,b,a,0.0,27.704677151119604,0.0,23.38161773454847,0.0,4.323059416571138,0.0,4.323059416571138,23.38161773454847,4.323059416571138,23.38161773454847,0.0
8,a,c,d,b,a,0.0,29.434209436007645,0.0,25.543455961093624,0.0,3.8907534749140247,0.0,3.8907534749140247,25.543455961093624,3.8907534749140247,25.543455961093624,0.0
7,a,c,b,d,a,0.0,30.990788492406885,0.0,27.489110364984263,0.0,3.5016781274226223,0.0,3.5016781274226223,27.489110364984263,3.5016781274226223,27.489110364984263,0.0
6,a,c,b,d,a,0.0,28.791709643166197,0.0,24.740199328485836,0.0,4.0515103146803595,0.0,4.0515103146803595,24.740199328485836,4.0515103146803595,24.740199328485836,0.0
5,a,c,d,b,a,0.0,26.812538678849577,0.0,22.266179395637252,0.0,4.546359283212324,0.0,4.546359283212324,22.266179395637252,4.546359283212324,22.266179395637252,0.0
4,a,c,b,d,a,0.0,28.63128481096462,0.0,24.53956145607353,0.0,4.091723354891092,0.0,4.091723354891092,24.53956145607353,4.091723354891092,24.53956145607353,0.0
3,a,c,b,d,a,0.0,26.668156329868157,0.0,22.085605310466175,0.0,4.582551019401983,0.0,4.582551019401983,22.085605310466175,4.582551019401983,22.085605310466175,0.0
2,a,c,d,b,a,0.0,24.90134069688134,0.0,19.877044779419556,0.0,5.024295917461784,0.0,5.024295917461784,19.877044779419556,5.024295917461784,19.877044779419556,0.0
1,a,c,b,d,a,0.0,26.91120662719321,0.0,22.389340301477603,0.0,4.521866325715606,0.0,4.521866325715606,22.389340301477603,4.521866325715606,22.389340301477603,0.0
